PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Has_Cabin,Title_Encoded,FamilySize,IsAlone,Age_Group_Encoded,Fare_Group_Encoded,Sex_Encoded,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Woman_or_Child,Sex_Pclass,Age_Fare,Title_Pclass,FamilySize_Pclass,High_Fare,Title_Pclass_Match,FamilyType,Age_Category,Fare_Quartile
116,0.0,3,21.0,0,0,7.925,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,166.42499999999998,3,3,0,0,0,3,1
117,0.0,3,70.5,0,0,7.75,0,1,1,1,4,1,0,0,1,0,0,0,1,1,0,546.375,3,3,0,0,0,5,0
118,0.0,2,29.0,1,0,21.0,0,1,2,0,3,3,0,0,0,1,0,1,0,1,0,609.0,2,4,0,1,1,3,2
119,0.0,1,24.0,0,1,133.65,1,1,2,0,3,4,0,1,0,0,1,0,0,1,0,3207.6000000000004,1,2,1,1,1,3,3
120,0.0,3,2.0,4,2,31.275,0,2,7,0,1,3,1,0,0,1,0,0,1,1,3,62.55,6,21,1,0,2,0,3
121,0.0,2,21.0,2,0,73.5,0,1,3,0,3,4,0,0,0,1,0,1,0,1,0,1543.5,2,6,1,1,1,3,3
122,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,201.25000000000003,3,3,0,0,0,3,1
123,0.0,2,32.5,1,0,30.0708,0,1,2,0,3,3,0,1,0,0,0,1,0,1,0,977.3009999999999,2,4,0,1,1,3,2
124,1.0,2,32.5,0,0,13.0,1,2,1,1,3,2,1,0,0,1,0,1,0,0,2,422.5,4,2,0,1,0,3,1
125,0.0,1,54.0,0,1,77.2875,1,1,2,0,3,4,0,0,0,1,1,0,0,1,0,4173.525,1,2,1,1,1,4,3
126,1.0,3,12.0,1,0,11.2417,0,4,2,0,1,2,0,1,0,0,0,0,1,1,0,134.9004,12,6,0,0,1,1,1
127,0.0,3,25.0,0,0,7.75,0,1,1,1,3,1,0,0,1,0,0,0,1,1,0,193.75,3,3,0,0,0,3,0
128,1.0,3,24.0,0,0,7.1417,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,171.4008,3,3,0,0,0,3,0
129,1.0,3,22.0,1,1,22.3583,1,2,3,0,3,3,1,1,0,0,0,0,1,0,3,491.8826,6,9,0,0,1,3,2
130,0.0,3,45.0,0,0,6.975,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,313.875,3,3,0,0,0,4,0
131,0.0,3,33.0,0,0,7.8958,0,1,1,1,3,1,0,1,0,0,0,0,1,1,0,260.5614,3,3,0,0,0,3,0
132,0.0,3,20.0,0,0,7.05,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,141.0,3,3,0,0,0,3,0
133,0.0,3,47.0,1,0,14.5,0,3,2,0,3,3,1,0,0,1,0,0,1,0,3,681.5,9,6,0,0,1,4,2
134,1.0,2,29.0,1,0,26.0,0,3,2,0,3,3,1,0,0,1,0,1,0,0,2,754.0,6,4,0,0,1,3,2
135,0.0,2,25.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0,1,0,325.0,2,2,0,1,0,3,1
136,0.0,2,23.0,0,0,15.0458,0,1,1,1,3,3,0,1,0,0,0,1,0,1,0,346.0534,2,2,0,1,0,3,2
137,1.0,1,19.0,0,2,26.2833,1,2,3,0,3,3,1,0,0,1,1,0,0,0,1,499.3827,2,3,0,1,1,3,2
138,0.0,1,37.0,1,0,53.1,1,1,2,0,3,4,0,0,0,1,1,0,0,1,0,1964.7,1,2,1,1,1,4,3
139,0.0,3,16.0,0,0,9.2167,0,1,1,1,2,2,0,0,0,1,0,0,1,1,0,147.4672,3,3,0,0,0,2,1
140,0.0,1,24.0,0,0,79.2,1,1,1,1,3,4,0,1,0,0,1,0,0,1,0,1900.8000000000002,1,1,1,1,0,3,3
141,0.0,3,22.0,0,2,15.2458,0,3,3,0,3,3,1,1,0,0,0,0,1,0,3,335.4076,9,9,0,0,1,3,2
142,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,0,1,0,0,1,0,3,170.5,6,3,0,0,0,3,0
143,1.0,3,24.0,1,0,15.85,0,3,2,0,3,3,1,0,0,1,0,0,1,0,3,380.4,9,6,0,0,1,3,2
144,0.0,3,19.0,0,0,6.75,0,1,1,1,3,1,0,0,1,0,0,0,1,1,0,128.25,3,3,0,0,0,3,0
145,0.0,2,18.0,0,0,11.5,0,1,1,1,2,2,0,0,0,1,0,1,0,1,0,207.0,2,2,0,1,0,2,1
146,0.0,2,19.0,1,1,36.75,0,1,3,0,3,4,0,0,0,1,0,1,0,1,0,698.25,2,6,1,1,1,3,3
147,1.0,3,27.0,0,0,7.7958,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,210.4866,3,3,0,0,0,3,0
148,0.0,3,9.0,2,2,34.375,0,2,5,0,1,4,1,0,0,1,0,0,1,1,3,309.375,6,15,1,0,2,1,3
149,0.0,2,36.5,0,2,26.0,1,1,3,0,3,3,0,0,0,1,0,1,0,1,0,949.0,2,6,0,1,1,4,2
150,0.0,2,42.0,0,0,13.0,0,5,1,1,3,2,0,0,0,1,0,1,0,1,0,546.0,10,2,0,0,0,4,1
151,0.0,2,51.0,0,0,12.525,0,5,1,1,3,2,0,0,0,1,0,1,0,1,0,638.775,10,2,0,0,0,4,1
152,1.0,1,22.0,1,0,66.6,1,3,2,0,3,4,1,0,0,1,1,0,0,0,1,1465.1999999999998,3,2,1,1,1,3,3
153,0.0,3,55.5,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,446.77500000000003,3,3,0,0,0,4,1
154,0.0,3,40.5,0,2,14.5,0,1,3,0,3,3,0,0,0,1,0,0,1,1,0,587.25,3,9,0,0,1,4,2
155,0.0,3,25.0,0,0,7.3125,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,182.8125,3,3,0,0,0,3,0
156,0.0,1,51.0,0,1,61.3792,0,1,2,0,3,4,0,1,0,0,1,0,0,1,0,3130.3392,1,2,1,1,1,4,3
157,1.0,3,16.0,0,0,7.7333,0,2,1,1,2,1,1,0,1,0,0,0,1,1,3,123.7328,6,3,0,0,0,2,0
158,0.0,3,30.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,241.50000000000003,3,3,0,0,0,3,1
159,0.0,3,25.0,0,0,8.6625,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,216.5625,3,3,0,0,0,3,1
160,0.0,3,25.0,8,2,69.55,0,4,11,0,3,4,0,0,0,1,0,0,1,1,0,1738.75,12,33,1,0,2,3,3
161,0.0,3,44.0,0,1,16.1,0,1,2,0,3,3,0,0,0,1,0,0,1,1,0,708.4000000000001,3,6,0,0,1,4,2
162,1.0,2,40.0,0,0,15.75,0,3,1,1,3,3,1,0,0,1,0,1,0,0,2,630.0,6,2,0,0,0,4,2
163,0.0,3,26.0,0,0,7.775,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,202.15,3,3,0,0,0,3,0
164,0.0,3,17.0,0,0,8.6625,0,1,1,1,2,2,0,0,0,1,0,0,1,1,0,147.2625,3,3,0,0,0,2,1
165,0.0,3,1.0,4,1,39.6875,0,4,6,0,1,4,0,0,0,1,0,0,1,1,0,39.6875,12,18,1,0,2,0,3
166,1.0,3,9.0,0,2,20.525,0,4,3,0,1,3,0,0,0,1,0,0,1,1,0,184.725,12,9,0,0,1,1,2
167,1.0,1,36.0,0,1,55.0,1,3,2,0,3,4,1,0,0,1,1,0,0,0,1,1980.0,3,2,1,1,1,4,3
168,0.0,3,45.0,1,4,27.9,0,3,6,0,3,3,1,0,0,1,0,0,1,0,3,1255.5,9,18,0,0,2,4,2
169,0.0,1,42.0,0,0,25.925,0,1,1,1,3,3,0,0,0,1,1,0,0,1,0,1088.8500000000001,1,1,0,1,0,4,2
170,0.0,3,28.0,0,0,56.4958,0,1,1,1,3,4,0,0,0,1,0,0,1,1,0,1581.8824,3,3,1,0,0,3,3
171,0.0,1,61.0,0,0,33.5,1,1,1,1,4,4,0,0,0,1,1,0,0,1,0,2043.5,1,1,1,1,0,5,3
172,0.0,3,4.0,4,1,29.125,0,4,6,0,1,3,0,0,1,0,0,0,1,1,0,116.5,12,18,0,0,2,0,2
173,1.0,3,1.0,1,1,11.1333,0,2,3,0,1,2,1,0,0,1,0,0,1,1,3,11.1333,6,9,0,0,1,0,1
174,0.0,3,21.0,0,0,7.925,0,1,1,1,3,2,0,0,0,1,0,0,1,1,0,166.42499999999998,3,3,0,0,0,3,1
175,0.0,1,56.0,0,0,30.6958,1,1,1,1,3,3,0,1,0,0,1,0,0,1,0,1718.9648,1,1,0,1,0,4,2
176,0.0,3,18.0,1,1,7.8542,0,1,3,0,2,1,0,0,0,1,0,0,1,1,0,141.3756,3,9,0,0,1,2,0
177,0.0,3,25.0,3,1,25.4667,0,4,5,0,3,3,0,0,0,1,0,0,1,1,0,636.6675,12,15,0,0,2,3,2
178,0.0,1,50.0,0,0,28.7125,1,2,1,1,3,3,1,1,0,0,1,0,0,0,1,1435.625,2,1,0,1,0,4,2
179,0.0,2,30.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0,1,0,390.0,2,2,0,1,0,3,1
180,0.0,3,36.0,0,0,0.0,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,0.0,3,3,0,0,0,4,0
181,0.0,3,22.0,8,2,69.55,0,2,11,0,3,4,1,0,0,1,0,0,1,0,3,1530.1,6,33,1,0,2,3,3
182,0.0,2,29.5,0,0,15.05,0,1,1,1,3,3,0,1,0,0,0,1,0,1,0,443.975,2,2,0,1,0,3,2
183,0.0,3,9.0,4,2,31.3875,0,4,7,0,1,4,0,0,0,1,0,0,1,1,0,282.4875,12,21,1,0,2,1,3
184,1.0,2,1.0,2,1,39.0,1,4,4,0,1,4,0,0,0,1,0,1,0,1,0,39.0,8,8,1,0,1,0,3
185,1.0,3,4.0,0,2,22.025,0,2,3,0,1,3,1,0,0,1,0,0,1,1,3,88.1,6,9,0,0,1,0,2
186,0.0,1,42.0,0,0,50.0,1,1,1,1,3,4,0,0,0,1,1,0,0,1,0,2100.0,1,1,1,1,0,4,3
187,1.0,3,22.0,1,0,15.5,0,3,2,0,3,3,1,0,1,0,0,0,1,0,3,341.0,9,6,0,0,1,3,2
188,1.0,1,45.0,0,0,26.55,0,1,1,1,3,3,0,0,0,1,1,0,0,1,0,1194.75,1,1,0,1,0,4,2
189,0.0,3,40.0,1,1,15.5,0,1,3,0,3,3,0,0,1,0,0,0,1,1,0,620.0,3,9,0,0,1,4,2
190,0.0,3,36.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1,1,0,284.2488,3,3,0,0,0,4,0
191,1.0,2,32.0,0,0,13.0,0,3,1,1,3,2,1,0,0,1,0,1,0,0,2,416.0,6,2,0,0,0,3,1
192,0.0,2,19.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0,1,0,247.0,2,2,0,1,0,3,1
193,1.0,3,19.0,1,0,7.8542,0,2,2,0,3,1,1,0,0,1,0,0,1,0,3,149.22979999999998,6,6,0,0,1,3,0
194,1.0,2,3.0,1,1,26.0,1,4,3,0,1,3,0,0,0,1,0,1,0,1,0,78.0,8,6,0,0,1,0,2
195,1.0,1,44.0,0,0,27.7208,1,3,1,1,3,3,1,1,0,0,1,0,0,0,1,1219.7152,3,1,0,1,0,4,2
