PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Has_Cabin,Title_Encoded,FamilySize,IsAlone,Age_Group_Encoded,Fare_Group_Encoded,Sex_Encoded,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
36,0.0,1,42.0,1,0,52.0,0,1,2,0,3,4,0,0,0,1,1,0,0
37,1.0,3,25.0,0,0,7.2292,0,1,1,1,3,1,0,1,0,0,0,0,1
38,0.0,3,21.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
39,0.0,3,18.0,2,0,18.0,0,2,3,0,2,3,1,0,0,1,0,0,1
40,1.0,3,14.0,1,0,11.2417,0,2,2,0,2,2,1,1,0,0,0,0,1
41,0.0,3,40.0,1,0,9.475,0,3,2,0,3,2,1,0,0,1,0,0,1
42,0.0,2,27.0,1,0,21.0,0,3,2,0,3,3,1,0,0,1,0,1,0
43,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,1,0,0,0,0,1
44,1.0,2,3.0,1,2,41.5792,0,2,4,0,1,4,1,1,0,0,0,1,0
45,1.0,3,19.0,0,0,7.8792,0,2,1,1,3,1,1,0,1,0,0,0,1
46,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
47,0.0,3,25.0,1,0,15.5,0,1,2,0,3,3,0,0,1,0,0,0,1
48,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1
49,0.0,3,25.0,2,0,21.6792,0,1,3,0,3,3,0,1,0,0,0,0,1
50,0.0,3,18.0,1,0,17.8,0,3,2,0,2,3,1,0,0,1,0,0,1
51,0.0,3,7.0,4,1,39.6875,0,4,6,0,1,4,0,0,0,1,0,0,1
52,0.0,3,21.0,0,0,7.8,0,1,1,1,3,1,0,0,0,1,0,0,1
53,1.0,1,49.0,1,0,76.7292,1,3,2,0,3,4,1,1,0,0,1,0,0
54,1.0,2,29.0,1,0,26.0,0,3,2,0,3,3,1,0,0,1,0,1,0
55,0.0,1,65.0,0,1,61.9792,1,1,2,0,4,4,0,1,0,0,1,0,0
56,1.0,1,42.0,0,0,35.5,1,1,1,1,3,4,0,0,0,1,1,0,0
57,1.0,2,21.0,0,0,10.5,0,2,1,1,3,2,1,0,0,1,0,1,0
58,0.0,3,28.5,0,0,7.2292,0,1,1,1,3,1,0,1,0,0,0,0,1
59,1.0,2,5.0,1,2,27.75,0,2,4,0,1,3,1,0,0,1,0,1,0
60,0.0,3,11.0,5,2,46.9,0,4,8,0,1,4,0,0,0,1,0,0,1
61,0.0,3,22.0,0,0,7.2292,0,1,1,1,3,1,0,1,0,0,0,0,1
62,1.0,1,38.0,0,0,80.0,1,2,1,1,3,4,1,0,0,1,1,0,0
63,0.0,1,45.0,1,0,83.475,1,1,2,0,3,4,0,0,0,1,1,0,0
64,0.0,3,4.0,3,2,27.9,0,4,6,0,1,3,0,0,0,1,0,0,1
65,0.0,1,42.0,0,0,27.7208,0,1,1,1,3,3,0,1,0,0,1,0,0
66,1.0,3,25.0,1,1,15.2458,0,4,3,0,3,3,0,1,0,0,0,0,1
67,1.0,2,29.0,0,0,10.5,1,3,1,1,3,2,1,0,0,1,0,1,0
68,0.0,3,19.0,0,0,8.1583,0,1,1,1,3,2,0,0,0,1,0,0,1
69,1.0,3,17.0,4,2,7.925,0,2,7,0,2,2,1,0,0,1,0,0,1
70,0.0,3,26.0,2,0,8.6625,0,1,3,0,3,2,0,0,0,1,0,0,1
71,0.0,2,32.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0
72,0.0,3,16.0,5,2,46.9,0,2,8,0,2,4,1,0,0,1,0,0,1
73,0.0,2,21.0,0,0,73.5,0,1,1,1,3,4,0,0,0,1,0,1,0
74,0.0,3,26.0,1,0,14.4542,0,1,2,0,3,2,0,1,0,0,0,0,1
75,1.0,3,32.0,0,0,56.4958,0,1,1,1,3,4,0,0,0,1,0,0,1
76,0.0,3,25.0,0,0,7.65,1,1,1,1,3,1,0,0,0,1,0,0,1
77,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
78,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
79,1.0,2,0.83,0,2,29.0,0,4,3,0,1,3,0,0,0,1,0,1,0
80,1.0,3,30.0,0,0,12.475,0,2,1,1,3,2,1,0,0,1,0,0,1
81,0.0,3,22.0,0,0,9.0,0,1,1,1,3,2,0,0,0,1,0,0,1
82,1.0,3,29.0,0,0,9.5,0,1,1,1,3,2,0,0,0,1,0,0,1
83,1.0,3,22.0,0,0,7.7875,0,2,1,1,3,1,1,0,1,0,0,0,1
84,0.0,1,28.0,0,0,47.1,0,1,1,1,3,4,0,0,0,1,1,0,0
85,1.0,2,17.0,0,0,10.5,0,2,1,1,2,2,1,0,0,1,0,1,0
86,1.0,3,33.0,3,0,15.85,0,3,4,0,3,3,1,0,0,1,0,0,1
87,0.0,3,16.0,1,3,34.375,0,1,5,0,2,4,0,0,0,1,0,0,1
88,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
89,1.0,1,23.0,3,2,133.65,1,2,6,0,3,4,1,0,0,1,1,0,0
90,0.0,3,24.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
91,0.0,3,29.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
92,0.0,3,20.0,0,0,7.8542,0,1,1,1,3,1,0,0,0,1,0,0,1
93,0.0,1,46.0,1,0,61.175,1,1,2,0,3,4,0,0,0,1,1,0,0
94,0.0,3,26.0,1,2,20.575,0,1,4,0,3,3,0,0,0,1,0,0,1
95,0.0,3,59.0,0,0,7.25,0,1,1,1,3,1,0,0,0,1,0,0,1
96,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
97,0.0,1,71.0,0,0,34.6542,1,1,1,1,4,4,0,1,0,0,1,0,0
98,1.0,1,23.0,0,1,63.3583,1,1,2,0,3,4,0,1,0,0,1,0,0
99,1.0,2,34.0,0,1,23.0,0,3,2,0,3,3,1,0,0,1,0,1,0
100,0.0,2,34.0,1,0,26.0,0,1,2,0,3,3,0,0,0,1,0,1,0
101,0.0,3,28.0,0,0,7.8958,0,2,1,1,3,1,1,0,0,1,0,0,1
102,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
103,0.0,1,21.0,0,1,77.2875,1,1,2,0,3,4,0,0,0,1,1,0,0
104,0.0,3,33.0,0,0,8.6542,0,1,1,1,3,2,0,0,0,1,0,0,1
105,0.0,3,37.0,2,0,7.925,0,1,3,0,3,2,0,0,0,1,0,0,1
106,0.0,3,28.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
107,1.0,3,21.0,0,0,7.65,0,2,1,1,3,1,1,0,0,1,0,0,1
108,1.0,3,25.0,0,0,7.775,0,1,1,1,3,1,0,0,0,1,0,0,1
109,0.0,3,38.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
110,1.0,3,22.0,1,0,24.15,0,2,2,0,3,3,1,0,1,0,0,0,1
111,0.0,1,47.0,0,0,52.0,1,1,1,1,3,4,0,0,0,1,1,0,0
112,0.0,3,14.5,1,0,14.4542,0,2,2,0,2,2,1,1,0,0,0,0,1
113,0.0,3,22.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
114,0.0,3,20.0,1,0,9.825,0,2,2,0,3,2,1,0,0,1,0,0,1
115,0.0,3,17.0,0,0,14.4583,0,2,1,1,2,3,1,1,0,0,0,0,1
116,0.0,3,21.0,0,0,7.925,0,1,1,1,3,2,0,0,0,1,0,0,1
117,0.0,3,70.5,0,0,7.75,0,1,1,1,4,1,0,0,1,0,0,0,1
118,0.0,2,29.0,1,0,21.0,0,1,2,0,3,3,0,0,0,1,0,1,0
119,0.0,1,24.0,0,1,133.65,1,1,2,0,3,4,0,1,0,0,1,0,0
120,0.0,3,2.0,4,2,31.275,0,2,7,0,1,3,1,0,0,1,0,0,1
121,0.0,2,21.0,2,0,73.5,0,1,3,0,3,4,0,0,0,1,0,1,0
122,0.0,3,25.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
123,0.0,2,32.5,1,0,30.0708,0,1,2,0,3,3,0,1,0,0,0,1,0
124,1.0,2,32.5,0,0,13.0,1,2,1,1,3,2,1,0,0,1,0,1,0
125,0.0,1,54.0,0,1,77.2875,1,1,2,0,3,4,0,0,0,1,1,0,0
126,1.0,3,12.0,1,0,11.2417,0,4,2,0,1,2,0,1,0,0,0,0,1
127,0.0,3,25.0,0,0,7.75,0,1,1,1,3,1,0,0,1,0,0,0,1
128,1.0,3,24.0,0,0,7.1417,0,1,1,1,3,1,0,0,0,1,0,0,1
129,1.0,3,22.0,1,1,22.3583,1,2,3,0,3,3,1,1,0,0,0,0,1
130,0.0,3,45.0,0,0,6.975,0,1,1,1,3,1,0,0,0,1,0,0,1
131,0.0,3,33.0,0,0,7.8958,0,1,1,1,3,1,0,1,0,0,0,0,1
132,0.0,3,20.0,0,0,7.05,0,1,1,1,3,1,0,0,0,1,0,0,1
133,0.0,3,47.0,1,0,14.5,0,3,2,0,3,3,1,0,0,1,0,0,1
134,1.0,2,29.0,1,0,26.0,0,3,2,0,3,3,1,0,0,1,0,1,0
135,0.0,2,25.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0
136,0.0,2,23.0,0,0,15.0458,0,1,1,1,3,3,0,1,0,0,0,1,0
137,1.0,1,19.0,0,2,26.2833,1,2,3,0,3,3,1,0,0,1,1,0,0
138,0.0,1,37.0,1,0,53.1,1,1,2,0,3,4,0,0,0,1,1,0,0
139,0.0,3,16.0,0,0,9.2167,0,1,1,1,2,2,0,0,0,1,0,0,1
140,0.0,1,24.0,0,0,79.2,1,1,1,1,3,4,0,1,0,0,1,0,0
141,0.0,3,22.0,0,2,15.2458,0,3,3,0,3,3,1,1,0,0,0,0,1
142,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,0,1,0,0,1
143,1.0,3,24.0,1,0,15.85,0,3,2,0,3,3,1,0,0,1,0,0,1
144,0.0,3,19.0,0,0,6.75,0,1,1,1,3,1,0,0,1,0,0,0,1
145,0.0,2,18.0,0,0,11.5,0,1,1,1,2,2,0,0,0,1,0,1,0
146,0.0,2,19.0,1,1,36.75,0,1,3,0,3,4,0,0,0,1,0,1,0
147,1.0,3,27.0,0,0,7.7958,0,1,1,1,3,1,0,0,0,1,0,0,1
148,0.0,3,9.0,2,2,34.375,0,2,5,0,1,4,1,0,0,1,0,0,1
149,0.0,2,36.5,0,2,26.0,1,1,3,0,3,3,0,0,0,1,0,1,0
150,0.0,2,42.0,0,0,13.0,0,5,1,1,3,2,0,0,0,1,0,1,0
151,0.0,2,51.0,0,0,12.525,0,5,1,1,3,2,0,0,0,1,0,1,0
152,1.0,1,22.0,1,0,66.6,1,3,2,0,3,4,1,0,0,1,1,0,0
153,0.0,3,55.5,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
154,0.0,3,40.5,0,2,14.5,0,1,3,0,3,3,0,0,0,1,0,0,1
155,0.0,3,25.0,0,0,7.3125,0,1,1,1,3,1,0,0,0,1,0,0,1
156,0.0,1,51.0,0,1,61.3792,0,1,2,0,3,4,0,1,0,0,1,0,0
157,1.0,3,16.0,0,0,7.7333,0,2,1,1,2,1,1,0,1,0,0,0,1
158,0.0,3,30.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
159,0.0,3,25.0,0,0,8.6625,0,1,1,1,3,2,0,0,0,1,0,0,1
160,0.0,3,25.0,8,2,69.55,0,4,11,0,3,4,0,0,0,1,0,0,1
161,0.0,3,44.0,0,1,16.1,0,1,2,0,3,3,0,0,0,1,0,0,1
162,1.0,2,40.0,0,0,15.75,0,3,1,1,3,3,1,0,0,1,0,1,0
163,0.0,3,26.0,0,0,7.775,0,1,1,1,3,1,0,0,0,1,0,0,1
164,0.0,3,17.0,0,0,8.6625,0,1,1,1,2,2,0,0,0,1,0,0,1
165,0.0,3,1.0,4,1,39.6875,0,4,6,0,1,4,0,0,0,1,0,0,1
166,1.0,3,9.0,0,2,20.525,0,4,3,0,1,3,0,0,0,1,0,0,1
167,1.0,1,36.0,0,1,55.0,1,3,2,0,3,4,1,0,0,1,1,0,0
168,0.0,3,45.0,1,4,27.9,0,3,6,0,3,3,1,0,0,1,0,0,1
169,0.0,1,42.0,0,0,25.925,0,1,1,1,3,3,0,0,0,1,1,0,0
170,0.0,3,28.0,0,0,56.4958,0,1,1,1,3,4,0,0,0,1,0,0,1
171,0.0,1,61.0,0,0,33.5,1,1,1,1,4,4,0,0,0,1,1,0,0
172,0.0,3,4.0,4,1,29.125,0,4,6,0,1,3,0,0,1,0,0,0,1
173,1.0,3,1.0,1,1,11.1333,0,2,3,0,1,2,1,0,0,1,0,0,1
174,0.0,3,21.0,0,0,7.925,0,1,1,1,3,2,0,0,0,1,0,0,1
175,0.0,1,56.0,0,0,30.6958,1,1,1,1,3,3,0,1,0,0,1,0,0
176,0.0,3,18.0,1,1,7.8542,0,1,3,0,2,1,0,0,0,1,0,0,1
177,0.0,3,25.0,3,1,25.4667,0,4,5,0,3,3,0,0,0,1,0,0,1
178,0.0,1,50.0,0,0,28.7125,1,2,1,1,3,3,1,1,0,0,1,0,0
179,0.0,2,30.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0
180,0.0,3,36.0,0,0,0.0,0,1,1,1,3,1,0,0,0,1,0,0,1
181,0.0,3,22.0,8,2,69.55,0,2,11,0,3,4,1,0,0,1,0,0,1
182,0.0,2,29.5,0,0,15.05,0,1,1,1,3,3,0,1,0,0,0,1,0
183,0.0,3,9.0,4,2,31.3875,0,4,7,0,1,4,0,0,0,1,0,0,1
184,1.0,2,1.0,2,1,39.0,1,4,4,0,1,4,0,0,0,1,0,1,0
185,1.0,3,4.0,0,2,22.025,0,2,3,0,1,3,1,0,0,1,0,0,1
186,0.0,1,42.0,0,0,50.0,1,1,1,1,3,4,0,0,0,1,1,0,0
187,1.0,3,22.0,1,0,15.5,0,3,2,0,3,3,1,0,1,0,0,0,1
188,1.0,1,45.0,0,0,26.55,0,1,1,1,3,3,0,0,0,1,1,0,0
189,0.0,3,40.0,1,1,15.5,0,1,3,0,3,3,0,0,1,0,0,0,1
190,0.0,3,36.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
191,1.0,2,32.0,0,0,13.0,0,3,1,1,3,2,1,0,0,1,0,1,0
192,0.0,2,19.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0
193,1.0,3,19.0,1,0,7.8542,0,2,2,0,3,1,1,0,0,1,0,0,1
194,1.0,2,3.0,1,1,26.0,1,4,3,0,1,3,0,0,0,1,0,1,0
195,1.0,1,44.0,0,0,27.7208,1,3,1,1,3,3,1,1,0,0,1,0,0
196,1.0,1,58.0,0,0,133.65,1,2,1,1,3,4,1,1,0,0,1,0,0
197,0.0,3,25.0,0,0,7.75,0,1,1,1,3,1,0,0,1,0,0,0,1
198,0.0,3,42.0,0,1,8.4042,0,1,2,0,3,2,0,0,0,1,0,0,1
199,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1
200,0.0,2,24.0,0,0,13.0,0,2,1,1,3,2,1,0,0,1,0,1,0
201,0.0,3,28.0,0,0,9.5,0,1,1,1,3,2,0,0,0,1,0,0,1
202,0.0,3,25.0,8,2,69.55,0,1,11,0,3,4,0,0,0,1,0,0,1
203,0.0,3,34.0,0,0,6.4958,0,1,1,1,3,1,0,0,0,1,0,0,1
204,0.0,3,45.5,0,0,7.225,0,1,1,1,3,1,0,1,0,0,0,0,1
205,1.0,3,18.0,0,0,8.05,0,1,1,1,2,2,0,0,0,1,0,0,1
206,0.0,3,2.0,0,1,10.4625,1,2,2,0,1,2,1,0,0,1,0,0,1
207,0.0,3,32.0,1,0,15.85,0,1,2,0,3,3,0,0,0,1,0,0,1
208,1.0,3,26.0,0,0,18.7875,0,1,1,1,3,3,0,1,0,0,0,0,1
209,1.0,3,16.0,0,0,7.75,0,2,1,1,2,1,1,0,1,0,0,0,1
210,1.0,1,40.0,0,0,31.0,1,1,1,1,3,3,0,1,0,0,1,0,0
211,0.0,3,24.0,0,0,7.05,0,1,1,1,3,1,0,0,0,1,0,0,1
212,1.0,2,35.0,0,0,21.0,0,2,1,1,3,3,1,0,0,1,0,1,0
213,0.0,3,22.0,0,0,7.25,0,1,1,1,3,1,0,0,0,1,0,0,1
214,0.0,2,30.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0
215,0.0,3,25.0,1,0,7.75,0,1,2,0,3,1,0,0,1,0,0,0,1
216,1.0,1,31.0,1,0,113.275,1,2,2,0,3,4,1,1,0,0,1,0,0
217,1.0,3,27.0,0,0,7.925,0,2,1,1,3,2,1,0,0,1,0,0,1
218,0.0,2,42.0,1,0,27.0,0,1,2,0,3,3,0,0,0,1,0,1,0
219,1.0,1,32.0,0,0,76.2917,1,2,1,1,3,4,1,1,0,0,1,0,0
220,0.0,2,30.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0
221,1.0,3,16.0,0,0,8.05,0,1,1,1,2,2,0,0,0,1,0,0,1
222,0.0,2,27.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0
223,0.0,3,51.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
224,0.0,3,25.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
225,1.0,1,38.0,1,0,90.0,1,1,2,0,3,4,0,0,0,1,1,0,0
226,0.0,3,22.0,0,0,9.35,0,1,1,1,3,2,0,0,0,1,0,0,1
227,1.0,2,19.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0
228,0.0,3,20.5,0,0,7.25,0,1,1,1,3,1,0,0,0,1,0,0,1
229,0.0,2,18.0,0,0,13.0,0,1,1,1,2,2,0,0,0,1,0,1,0
230,0.0,3,22.0,3,1,25.4667,0,2,5,0,3,3,1,0,0,1,0,0,1
231,1.0,1,35.0,1,0,83.475,1,3,2,0,3,4,1,0,0,1,1,0,0
232,0.0,3,29.0,0,0,7.775,0,1,1,1,3,1,0,0,0,1,0,0,1
233,0.0,2,59.0,0,0,13.5,0,1,1,1,3,2,0,0,0,1,0,1,0
234,1.0,3,5.0,4,2,31.3875,0,2,7,0,1,4,1,0,0,1,0,0,1
235,0.0,2,24.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0
236,0.0,3,22.0,0,0,7.55,0,2,1,1,3,1,1,0,0,1,0,0,1
237,0.0,2,44.0,1,0,26.0,0,1,2,0,3,3,0,0,0,1,0,1,0
238,1.0,2,8.0,0,2,26.25,0,2,3,0,1,3,1,0,0,1,0,1,0
239,0.0,2,19.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0
240,0.0,2,33.0,0,0,12.275,0,1,1,1,3,2,0,0,0,1,0,1,0
241,0.0,3,22.0,1,0,14.4542,0,2,2,0,3,2,1,1,0,0,0,0,1
242,1.0,3,22.0,1,0,15.5,0,2,2,0,3,3,1,0,1,0,0,0,1
243,0.0,2,29.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0
244,0.0,3,22.0,0,0,7.125,0,1,1,1,3,1,0,0,0,1,0,0,1
245,0.0,3,30.0,0,0,7.225,0,1,1,1,3,1,0,1,0,0,0,0,1
246,0.0,1,44.0,2,0,90.0,1,5,3,0,3,4,0,0,1,0,1,0,0
247,0.0,3,25.0,0,0,7.775,0,2,1,1,3,1,1,0,0,1,0,0,1
248,1.0,2,24.0,0,2,14.5,0,3,3,0,3,3,1,0,0,1,0,1,0
249,1.0,1,37.0,1,1,52.5542,1,1,3,0,3,4,0,0,0,1,1,0,0
250,0.0,2,54.0,1,0,26.0,0,5,2,0,3,3,0,0,0,1,0,1,0
251,0.0,3,25.0,0,0,7.25,0,1,1,1,3,1,0,0,0,1,0,0,1
252,0.0,3,29.0,1,1,10.4625,1,3,3,0,3,2,1,0,0,1,0,0,1
253,0.0,1,62.0,0,0,26.55,1,1,1,1,4,3,0,0,0,1,1,0,0
254,0.0,3,30.0,1,0,16.1,0,1,2,0,3,3,0,0,0,1,0,0,1
255,0.0,3,41.0,0,2,20.2125,0,3,3,0,3,3,1,0,0,1,0,0,1
256,1.0,3,29.0,0,2,15.2458,0,3,3,0,3,3,1,1,0,0,0,0,1
257,1.0,1,36.0,0,0,79.2,0,3,1,1,3,4,1,1,0,0,1,0,0
258,1.0,1,30.0,0,0,86.5,1,2,1,1,3,4,1,0,0,1,1,0,0
259,1.0,1,35.0,0,0,133.65,0,2,1,1,3,4,1,1,0,0,1,0,0
260,1.0,2,50.0,0,1,26.0,0,3,2,0,3,3,1,0,0,1,0,1,0
261,0.0,3,25.0,0,0,7.75,0,1,1,1,3,1,0,0,1,0,0,0,1
262,1.0,3,3.0,4,2,31.3875,0,4,7,0,1,4,0,0,0,1,0,0,1
263,0.0,1,52.0,1,1,79.65,1,1,3,0,3,4,0,0,0,1,1,0,0
264,0.0,1,40.0,0,0,0.0,1,1,1,1,3,1,0,0,0,1,1,0,0
265,0.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1
266,0.0,2,36.0,0,0,10.5,0,1,1,1,3,2,0,0,0,1,0,1,0
267,0.0,3,16.0,4,1,39.6875,0,1,6,0,2,4,0,0,0,1,0,0,1
268,1.0,3,25.0,1,0,7.775,0,1,2,0,3,1,0,0,0,1,0,0,1
269,1.0,1,58.0,0,1,133.65,1,3,2,0,3,4,1,0,0,1,1,0,0
270,1.0,1,35.0,0,0,133.65,1,2,1,1,3,4,1,0,0,1,1,0,0
271,0.0,1,42.0,0,0,31.0,0,1,1,1,3,3,0,0,0,1,1,0,0
272,1.0,3,25.0,0,0,0.0,0,1,1,1,3,1,0,0,0,1,0,0,1
273,1.0,2,41.0,0,1,19.5,0,3,2,0,3,3,1,0,0,1,0,1,0
274,0.0,1,37.0,0,1,29.7,1,1,2,0,3,3,0,1,0,0,1,0,0
275,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1
276,1.0,1,63.0,1,0,77.9583,1,2,2,0,4,4,1,0,0,1,1,0,0
277,0.0,3,45.0,0,0,7.75,0,2,1,1,3,1,1,0,0,1,0,0,1
278,0.0,2,29.5,0,0,0.0,0,1,1,1,3,1,0,0,0,1,0,1,0
279,0.0,3,7.0,4,1,29.125,0,4,6,0,1,3,0,0,1,0,0,0,1
280,1.0,3,35.0,1,1,20.25,0,3,3,0,3,3,1,0,0,1,0,0,1
281,0.0,3,65.0,0,0,7.75,0,1,1,1,4,1,0,0,1,0,0,0,1
282,0.0,3,28.0,0,0,7.8542,0,1,1,1,3,1,0,0,0,1,0,0,1
283,0.0,3,16.0,0,0,9.5,0,1,1,1,2,2,0,0,0,1,0,0,1
284,1.0,3,19.0,0,0,8.05,0,1,1,1,3,2,0,0,0,1,0,0,1
285,0.0,1,42.0,0,0,26.0,1,1,1,1,3,3,0,0,0,1,1,0,0
286,0.0,3,33.0,0,0,8.6625,0,1,1,1,3,2,0,1,0,0,0,0,1
287,1.0,3,30.0,0,0,9.5,0,1,1,1,3,2,0,0,0,1,0,0,1
288,0.0,3,22.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
289,1.0,2,42.0,0,0,13.0,0,1,1,1,3,2,0,0,0,1,0,1,0
290,1.0,3,22.0,0,0,7.75,0,2,1,1,3,1,1,0,1,0,0,0,1
291,1.0,1,26.0,0,0,78.85,0,2,1,1,3,4,1,0,0,1,1,0,0
292,1.0,1,19.0,1,0,91.0792,1,3,2,0,3,4,1,1,0,0,1,0,0
293,0.0,2,36.0,0,0,12.875,1,1,1,1,3,2,0,1,0,0,0,1,0
294,0.0,3,24.0,0,0,8.85,0,2,1,1,3,2,1,0,0,1,0,0,1
295,0.0,3,24.0,0,0,7.8958,0,1,1,1,3,1,0,0,0,1,0,0,1
296,0.0,1,42.0,0,0,27.7208,0,1,1,1,3,3,0,1,0,0,1,0,0
