iter	Passed	Remaining
291	382	1189
292	382	1185
293	383	1181
294	384	1178
295	384	1175
296	385	1171
297	386	1168
298	386	1165
299	387	1161
300	387	1158
301	388	1155
302	389	1152
303	389	1148
304	390	1145
305	391	1142
306	391	1139
307	392	1136
308	393	1133
309	393	1130
310	394	1127
311	394	1123
312	395	1120
313	396	1117
314	396	1114
315	397	1111
316	398	1108
317	398	1105
318	399	1103
319	400	1100
320	400	1097
321	401	1094
322	401	1091
323	402	1088
324	403	1085
325	403	1082
326	404	1079
327	404	1076
328	405	1073
329	406	1070
330	406	1068
331	407	1065
332	408	1062
333	408	1059
334	409	1056
335	409	1054
336	410	1051
337	411	1048
338	411	1046
339	412	1043
340	413	1040
341	413	1038
342	431	1078
343	432	1075
344	432	1072
345	433	1069
346	434	1067
347	434	1064
348	435	1061
349	435	1058
350	436	1056
351	437	1053
352	437	1050
353	438	1048
354	439	1045
355	439	1042
356	440	1040
357	441	1037
358	441	1035
359	442	1031
360	442	1029
361	443	1026
362	444	1024
363	445	1022
364	445	1019
365	446	1017
366	447	1014
367	447	1012
368	448	1009
369	449	1007
370	449	1004
371	450	1002
372	451	1000
373	451	997
374	452	995
375	453	993
376	453	990
377	454	988
378	455	986
379	456	984
380	456	981
381	457	979
382	458	977
383	458	975
384	459	973
385	460	970
386	461	968
387	461	966
388	462	964
389	463	962
390	464	960
391	464	957
392	465	955
393	466	953
394	466	951
395	467	949
396	468	947
397	469	945
398	469	943
399	470	940
400	470	938
401	471	936
402	472	934
403	473	932
404	473	929
405	474	927
406	475	925
407	475	923
408	476	921
409	477	919
410	477	917
411	478	915
412	479	913
413	480	911
414	480	909
415	481	907
416	482	905
417	482	902
418	483	900
419	484	898
420	484	896
421	485	894
422	485	892
423	486	890
424	486	887
425	487	885
426	488	883
427	488	881
428	489	879
429	490	878
430	491	876
431	491	874
432	492	872
433	492	870
434	493	868
435	493	865
436	494	863
437	495	861
438	496	859
439	496	858
440	497	856
441	498	854
442	498	852
443	499	850
444	500	848
445	501	847
446	501	845
447	502	843
448	503	841
449	503	839
450	504	837
451	505	836
452	505	834
453	506	832
454	507	830
455	507	828
456	508	826
457	509	824
458	509	822
459	510	821
460	511	819
461	511	817
462	512	815
463	512	813
464	513	811
465	514	809
466	514	807
467	515	806
468	516	804
469	516	802
470	517	800
471	517	798
472	518	796
473	519	795
474	519	793
475	520	791
476	520	789
477	521	787
478	522	786
479	522	784
480	523	782
481	524	780
482	524	778
483	525	777
484	525	774
485	526	773
486	526	771
487	528	771
488	529	769
489	529	767
490	530	766
491	531	764
492	531	762
493	532	760
494	532	758
495	532	756
496	533	754
497	534	753
498	534	751
499	535	749
500	536	747
501	536	745
502	537	744
503	537	742
504	538	740
505	538	739
506	539	737
507	540	735
508	540	734
509	541	732
510	542	730
511	542	729
512	543	727
513	543	726
514	544	724
515	545	722
516	545	721
517	546	719
518	546	717
519	547	715
520	547	714
521	548	712
522	549	710
523	549	709
524	550	707
525	550	705
526	551	704
527	552	702
528	552	700
529	553	699
530	553	697
531	554	696
532	555	694
533	555	693
534	556	691
535	556	689
536	557	688
537	558	686
538	558	685
539	559	683
540	559	682
541	560	680
542	561	678
543	561	677
544	562	675
545	562	674
546	563	672
547	564	671
548	564	669
549	565	668
550	566	666
551	566	665
552	567	663
553	567	662
554	568	660
555	569	659
556	569	657
557	570	656
558	571	654
559	571	653
560	572	651
561	572	650
562	573	649
563	574	647
564	574	646
565	575	644
566	576	643
567	576	641
568	577	640
569	577	638
570	578	637
571	578	635
572	579	634
573	580	632
574	580	631
575	581	629
576	582	628
577	582	626
578	583	625
579	583	624
580	584	622
581	585	621
582	585	620
583	586	618
584	587	617
585	587	615
586	588	614
587	588	613
588	589	611
589	590	610
590	590	608
591	591	607
592	592	606
593	592	604
594	593	603
595	593	601
596	594	600
597	595	599
598	595	597
599	596	596
600	597	595
601	597	593
602	597	591
603	598	590
604	599	589
605	599	587
606	600	586
607	601	585
608	601	583
609	602	582
610	603	581
611	603	580
612	604	578
613	605	577
614	605	575
615	605	574
616	606	573
617	607	571
618	607	570
619	608	569
620	609	567
621	609	566
622	610	565
623	611	564
624	611	562
625	612	561
626	613	560
627	613	558
628	614	557
629	614	556
630	615	555
631	616	553
632	616	552
633	617	551
634	618	549
635	618	548
636	619	547
637	619	546
638	620	544
639	621	543
640	621	542
641	622	540
642	623	539
643	623	538
644	624	537
645	624	535
646	625	534
647	626	533
648	626	532
649	627	530
650	627	529
651	628	528
652	629	527
653	629	525
654	630	524
655	631	523
656	631	522
657	632	520
658	633	519
659	633	518
660	634	517
661	634	515
662	635	514
663	635	513
664	636	512
665	637	510
666	637	509
667	638	508
668	639	507
669	639	505
670	639	504
671	640	503
672	640	501
673	641	500
674	642	499
675	642	498
676	643	497
677	643	495
678	644	494
679	645	493
680	645	492
681	646	490
682	646	489
683	647	488
684	648	487
685	648	486
686	649	484
687	650	483
688	650	482
689	651	481
690	652	480
691	652	479
692	653	478
693	654	476
694	654	475
695	655	474
696	655	473
697	656	472
698	657	471
699	657	469
700	658	468
701	659	467
702	659	466
703	660	465
704	660	464
705	661	462
706	662	461
707	662	460
708	663	459
709	663	458
710	664	457
711	664	455
712	665	454
713	666	453
714	666	452
715	667	451
716	667	449
717	668	448
718	669	447
719	669	446
720	670	445
721	671	444
722	671	443
723	672	442
724	672	440
725	673	439
726	674	438
727	674	437
728	675	436
729	676	435
730	676	434
731	677	433
732	677	431
733	678	430
734	679	429
735	679	428
736	680	427
737	681	426
738	681	425
739	682	424
740	682	423
741	683	421
742	684	420
743	684	419
744	685	418
745	686	417
746	686	416
747	686	414
748	687	413
749	687	412
750	688	411
751	689	410
752	689	409
753	690	408
754	691	407
755	691	406
756	692	405
757	692	404
758	693	403
759	694	401
760	694	400
761	695	399
762	696	398
763	696	397
764	697	396
765	698	395
766	698	394
767	699	393
768	699	392
769	700	391
770	701	390
771	701	389
772	702	388
773	703	386
774	703	385
775	704	384
776	704	383
777	705	382
778	706	381
779	706	380
780	707	379
781	707	378
782	708	377
783	709	376
784	709	375
785	710	374
786	710	373
787	711	372
788	712	371
789	712	369
790	713	368
791	714	367
792	714	366
793	714	365
794	715	364
795	715	363
796	716	362
797	716	361
798	717	360
799	718	359
800	718	357
801	719	356
802	719	355
803	720	354
804	721	353
805	724	354
806	724	353
807	725	351
808	726	350
809	726	349
810	727	348
811	728	347
812	728	346
813	729	345
814	730	344
815	730	343
816	731	342
817	731	341
818	732	340
819	733	339
820	733	338
821	734	337
822	735	336
823	735	335
824	736	334
825	736	333
826	737	332
827	737	331
828	738	330
829	739	329
830	739	328
831	740	327
832	740	326
833	741	325
834	741	324
835	742	323
836	743	322
837	743	321
838	744	320
839	745	319
840	745	318
841	746	317
842	746	316
843	747	315
844	748	314
845	748	313
846	749	312
847	750	311
848	750	310
849	751	309
850	751	308
851	752	307
852	753	306
853	753	305
854	754	304
855	754	303
856	755	302
857	756	301
858	756	300
859	757	299
860	758	298
861	758	297
862	759	296
863	759	295
864	760	294
865	761	293
866	761	292
867	762	291
868	762	290
869	763	289
870	764	288
871	764	287
872	764	286
873	765	285
874	765	284
875	766	283
876	767	282
877	767	281
878	768	280
879	769	279
880	769	278
881	770	277
882	770	276
883	771	275
884	772	274
885	772	273
886	773	272
887	773	271
888	774	270
889	774	269
890	775	268
891	776	267
892	776	267
893	777	266
894	777	265
895	778	264
896	779	263
897	779	262
898	780	261
899	781	260
900	781	259
901	782	258
902	782	257
903	783	256
904	784	255
905	784	254
906	785	253
907	786	252
908	786	251
909	787	250
910	787	249
911	788	249
912	789	248
913	789	247
914	790	246
915	790	245
916	791	244
917	792	243
918	792	242
919	793	241
920	793	240
921	794	239
922	795	238
923	796	237
924	796	236
925	797	235
926	798	235
927	798	234
928	799	233
929	799	232
930	800	231
931	800	230
932	801	229
933	802	228
934	802	227
935	803	226
936	803	225
937	804	224
938	805	223
939	805	222
940	806	221
941	807	221
942	807	220
943	808	219
944	808	218
945	809	217
946	809	216
947	810	215
948	811	214
949	811	213
950	812	212
951	813	211
952	813	210
953	814	210
954	815	209
955	815	208
956	816	207
957	816	206
958	817	205
959	818	204
960	821	204
961	822	203
962	823	202
963	823	201
964	824	200
965	825	199
966	826	199
967	826	198
968	827	197
969	828	196
970	828	195
971	829	194
972	829	193
973	830	192
974	831	191
975	831	190
976	832	189
977	832	189
978	833	188
979	833	187
980	834	186
981	835	185
982	835	184
983	836	183
984	836	182
985	837	181
986	837	180
987	838	179
988	839	179
989	839	178
990	840	177
991	840	176
992	841	175
993	842	174
994	842	173
995	843	172
996	844	171
997	844	171
998	845	170
999	846	169
1000	846	168
1001	847	167
1002	847	166
1003	848	165
1004	849	164
1005	849	163
1006	850	162
1007	851	162
1008	851	161
1009	852	160
1010	852	159
1011	853	158
1012	854	157
1013	854	156
1014	854	155
1015	855	154
1016	856	154
1017	856	153
1018	857	152
1019	858	151
1020	858	150
1021	859	149
1022	859	148
1023	860	147
1024	861	147
1025	861	146
1026	862	145
1027	862	144
1028	863	143
1029	864	142
1030	864	141
1031	865	140
1032	865	140
1033	866	139
1034	867	138
1035	867	137
1036	868	136
1037	869	135
1038	869	134
1039	870	133
1040	871	133
1041	871	132
1042	872	131
1043	872	130
1044	873	129
1045	874	128
1046	874	127
1047	875	126
1048	875	126
1049	876	125
1050	877	124
1051	877	123
1052	878	122
1053	878	121
1054	879	120
1055	880	120
1056	880	119
1057	881	118
1058	882	117
1059	882	116
1060	883	115
1061	883	114
1062	884	114
1063	885	113
1064	885	112
1065	886	111
1066	887	110
1067	887	109
1068	888	108
1069	888	107
1070	889	107
1071	889	106
1072	890	105
1073	891	104
1074	891	103
1075	892	102
1076	893	101
1077	893	101
1078	894	100
1079	894	99
1080	895	98
1081	896	97
1082	896	96
1083	897	96
1084	897	95
1085	898	94
1086	899	93
1087	899	92
1088	900	91
1089	901	90
1090	901	90
1091	902	89
1092	902	88
1093	903	87
1094	904	86
1095	904	85
1096	905	85
1097	906	84
1098	906	83
1099	907	82
1100	907	81
1101	908	80
1102	909	79
1103	909	79
1104	910	78
1105	911	77
1106	911	76
1107	912	75
1108	912	74
1109	913	74
1110	913	73
1111	914	72
1112	915	71
1113	915	70
1114	916	69
1115	917	69
1116	917	68
1117	918	67
1118	919	66
1119	919	65
1120	920	64
1121	920	63
1122	921	63
1123	921	62
1124	922	61
1125	922	60
1126	923	59
1127	924	58
1128	924	58
1129	925	57
1130	925	56
1131	926	55
1132	927	54
1133	927	53
1134	928	53
1135	928	52
1136	929	51
1137	929	50
1138	930	49
1139	930	48
1140	931	48
1141	932	47
1142	932	46
1143	933	45
1144	933	44
1145	934	44
1146	935	43
1147	935	42
1148	936	41
1149	937	40
1150	937	39
1151	938	39
1152	938	38
1153	939	37
1154	940	36
1155	940	35
1156	941	34
1157	941	34
1158	942	33
1159	943	32
1160	943	31
1161	944	30
1162	945	30
1163	945	29
1164	946	28
1165	946	27
1166	947	26
1167	948	25
1168	948	25
1169	949	24
1170	949	23
1171	950	22
1172	951	21
1173	951	21
1174	952	20
1175	952	19
1176	953	18
1177	954	17
1178	954	17
1179	955	16
1180	955	15
1181	956	14
1182	957	13
1183	957	12
1184	958	12
1185	959	11
1186	959	10
1187	960	9
1188	960	8
1189	961	8
1190	962	7
1191	962	6
1192	963	5
1193	963	4
1194	964	4
1195	965	3
1196	965	2
1197	966	1
1198	966	0
1199	967	0
